,comment
"Flight Centre secretly charges upto 20% commission Just a reminder to people: the flight centre secretly charges upto 20% commission on ALL tickets. They will not breathe a word of this to you. They will have you believe that they can get you the best possible price and to back this up they've got their so-called \Price beat policy"". DO NOT BE FOOLED. Any ticket price that they quote you""",2
"Incorrect debit order date I Have two contracts with Telkom Mobile, one will finish at the beginning of next year and the other had finished in November 2017. For the past 4 years, i have not come across a problem with billing, but this is one month I have. My debit order date in 25th of each month, this past billing went through on 24 November, but because they were insufficient funds in my account, it bounced back. I see the debit order did eventually go off on 30 November. I keep receiving messages that my account is overdue and when I had called the call centre, they advised that it was handed over to collections and that it will only reflect on their side in a couple working days and that I should not worry about it. However I have been charged a fee of R200 for that. For the past four years, the 25th fell on a Saturday a couple of times and would not have the sufficient funds and never experienced this problem before. My debit order is the 25th, you take the money on the 25th and no other day as per agreement. I will not pay the extra R200.",2
Beaucannon Beaucannon,2
"Cancellation Fee <p>We installed a ADT alarm more than 10 years ago. Never misses an installment. We then sold the house in 2014. The people who bought the house didn't want the alarm. I phone them to tell them to disconnect the alarm as we sold the house. They told us that we must put it in writting which we did in Feb/March 2014. We reallocate to KZN and joined ADT again. In 2015 they phoned us and told us that we didn't cancelled the contract. We told them to look at their records because we did cancelled in writting and that we joined ADT in KZN. They said ok because we are still with ADT they will sort it out. In May 2016 we received a call and now we own the R3000,00 because of a cancellation Fee, We had the alarm at that specific address more than 12 years ago and they told us that if we cancelled within 3 years (36 months) that we will pay a cancellation fee.  The lady phoned again in June 2016 and told us that if we don't pay she will blacklist us. Never did we received and invoices or statements.</p>",2
Very good experience Very good experience,2
Great customer servi... Great customer service,2
"Unpaid sick leave <p>I was off sick for some time and i had exhausted my sick leave and they did not offer me any risk pool or special leve or other options as they would normally to other employees, i have been waiting for them since 2015 for my 6 months payment for that time. I feel like i was treated unfairly because that is not the procedure they normally follow other employees, can please someone assist me with this</p>",2
1-Grid Great services from Zolani,2
"Delete my account Good day

Could you please delete my account.",2
Chantel Thank you,2
Very efficient and h... Very efficient and helpful,2
"Clown fest <p>I decided to give this site a try as Standard bank is more offline than online these days.</p>
<p>Extremely unintuitive website and after having the one time password not work three times in a row even after customer support I decided to ask for a refund.</p>
<p>Allister at customer support ignored my request and continued to try and sell me electricity, after I insisted I wanted a refund I was told this would take days to do.</p>
<p>Funny how they have no problem taking your money 24/7 but only have sad stories and excuces when you want it back.</p>
<p>I suspect something fishy is going on here.</p>",2
Effiecient service So far I've had good effiecient service when signing up.,2
Jason Naidoo Good service ,2
Fast Fast,2
I would like to writ... I would like to write a review about Yesplay,2
Service is excellent Service is excellent,2
I got an excellent s... I got an excellent service,2
"DHL International I said, at this time I dispute the validity of the bill. I asked her to send me a copy of the itemized statement and I'd call her back after reviewing and that I believe I have 30 days to review before further action by collections. Contact DHL International +1*8O5*41O*5O4O PHONE NUMBER Contact DHL International +1*8O5*41O*5O4O PHONE NUMBER She said ok about sending but that collections reporting would begin. She never got short, snippy or angry. Then I googled the lab and found this scam site with same stories.",2
Very friendly and ef... Very friendly and efficient,2
Zolani Thank you.,2
They very helpful They very helpful,2
Amanda <div>Good</div>,2
Jerusha Good service,2
Mr Excellent,2
I would like to writ... I would like to write a review about The Mattress Warehouse,2
"Good service Good customer care, easy to reach",2
Good service. Good service.,2
It's excellent It's excellent,2
"Great assistance <p>I just spoke to Andrew on the ""chat live"" option and I need to point out that he was so nice and helpfull. Such a pleasant experience! :)</p>",2
Exit Exit,2
No thanks No thanks,2
Very helpful and fri... Very helpful and friendly,2
Thanks Tyrone Thank you Tyrone for your assistance,2
Exceptional Exceptional,2
"Telkom Rip off  Telkom currently has a special of 99 for 10 gig.
I went to telkom in Atteridgeville Nkomo Village, my 1st purchase was 99, but the consultant had an issue to give me my R1 change but eventually gave me in 10c coins. 
A week later I went again to buy 2, R99 10 gig vouchers. The consultant that was there was rude and refused to give me my R2 changed. He said that there is no 99 for 10 gig. I asked to speak to his manager and he said he is not there. He gave me a number but that number just rings it could be his friend for all that matters. He couldn't even give me a receipt they said their machine is offline, that they will email it to me that was 3 weeks ago and am still waiting.
Now the weird thing is that they only sell these vouchers as cash sales. No slips and charging customers 100. How many R1 are they pocketing. This is daylight robbery. Which should be sorted out asap ",2
Kelly Very friendly and helpfull,2
"EXCELLENT SERVICE!!! <p>I am indeed grateful to share with you that on Tuesday, 10 May 2016 I was given the best possible service (as a valuable client) by the consultant, Gloria August regarding  the WesBank Driva Protect Benefits. Her excellent service is much appreciated and i will definitely recommend her to other clients. Thank you so much Gloria for your excellent service.</p>
<p>Cheers!</p>
<p>From Matsebe Lucas Lekalakala</p>",2
Woodford car hire Excellent service,2
Babalwa Babalwa,2
Acceptable Acceptable,2
The service was good The service was good,2
"VEHICLE STRIPPED. <p>My bakkie, a white Ford bantam was towed on 15 Sept and stored at Auction Nation yard in East London. It was then written off by the insurance. I bought it back from the insurance and picked it up on 28 September. After getting it repaired, the bakkie would not start and an auto electrician was called. He found out that the computer box was missing. The car was starting when it went to Auction Nation.</p>",2
Very helpfull Very helpfull,2
Very helpful and pro... Very helpful and professional,2
Amanda good service,2
Fast and efficient Fast and efficient,2
Chantel Excellent,2
Was very good Was very good,2
The experience was o... The experience was okay,2
Yaseen - excellent service Yaseen - excellent service,2
Thank you Tyrone Amazing service from Tyrone,2
Great assistance Great assistance,2
The agent was very h... The agent was very helpful,2
"Removal of review I would like to remove my review, please assist",2
The experience has b... The experience has been good,2
Efficient Efficient,2
Faseeg Faseeg,2
Best service ever Best service ever,2
Well Well,2
It was good. It was good.,2
Curl error: Connecti... Curl error: Connection timed out after 10001 milliseconds,2
Jerusha Good service.,2
Pre approval home loan with Ooba. Thank you Kirsten Blakely for your friendly assistance in providing me with a pre qualified home loan. Your continues rapid response is highly appreciated. A great start to an exciting journey.,2
Professional service Professional service,2
Jason  Good service ,2
it was verry good. <p>Ag not much to say everything was good and done with good respect good trained personel and verry profesional.</p>,2
Friendly and profess... Friendly and professional service.,2
"Amazing service <p>I was totally amazed by the staff of this Engen. I was driving home to Cape Town from Mossel Bay and like an idiot, I left my wallet where I was standing talking to some friends. Later on I received a phone call from my bank because the staff had taken the time to call my bank to report it so that they could contact me. I was already 100km away from Mossel Bay but I stopped and phoned Engen. The lady that answered knew exactly what I was talking about and told me that the supervisor had my wallet. When I finally got back to the Engen, I asked at the counter and was received with big smiles and friendly faces. The supervisor walked to the back office and returned with my entire wallet intact. My money, cards, drivers licence, id book and photos were all there. She even appologised for going through my wallet because she was trying to find a contact number. I didnt think there were such honest people left in the world. I was quite emotional and didnt even take the supervisor's name. THANK YOU so much for you honesty and friendly demeanor. You have saved me so much time and trouble in replacing everything in my wallet. I could never thank you enough!</p>",2
Thank you Thank you,2
"FIX IT I am giving a 2 Star rating for the wonderful service I received from the consultant & the contract option that I'm on. The rest of the rating went towards the bad service received from thereafter.  Towards the end of June, beginning of July, I received a call from a female Mondo consultant , of whom I cannot recall the name, who offered me a beautiful Telkom contract that I was already considering at that time, but i told her that I was currently out of funds and would rather they call me towards the end of the following month. Instead, because she was really nice and insisted I take the package offered as it was on special & it might end, she said will speak to her leader in order to waiver the connection fee. I waited on the line for quite some time as she consulted with her boss. Her boss came to the line and confirmed and guaranteed me that in the next month, they will only be debiting R150.00 fixed amount that i will be paying for the rest of the contract with no extra costs whatsoever and the connection fee wavered, Because by then, I had already informed them that I'm not itting well financially. To get to the conclusion, I'm now sitting with a bill of  R681.95 on the second month merely because the 1st debit order bounced, as there was a request to debit R315.00... R200 activation fee, which I was advised I won't be paying for. I therefore cannot be paying for that and cannot account to the bank charges added onto the account due to a debit order bouncing off whereas there was sufficient money in my account, except that the money requested was higher than the money expected to be debited of which is not even my fault. FIX THIS!!!!!!!!!!!",2
Shevone Thank you,2
"repairs <p>I booked in my phone for repair towards end of last year with cracked screen which is s4 and it was registered under ADH cover and they fixed my phone. Ever since it got back from repairs it started giving me problems it was freezing, deleting all the apps im downloading and kept on restarting. I went to telkom store and they did everything in their powers to help me until it started doing emegency calls only. I went back to the shop to book it in and im given a quotation of 4.8 thousand to fix the problem cause its no longer under the guarantee and they say the screen is damaged nd when i booked it in there was no cracked screen. How can they charge me 4.8 for network problem and that occurred after it came back from them? And its a technical problem not physical damege.</p>",2
I love their product... I love their products,2
Outstanding service by Outsurance  <p>My name is Pravin Depraj. I was involved in an accident two weeks ago. All it took was one phone call and a tow truck was sent to assist me. My vehicle was recovered and towed. It was stress free knowing they were behind  me all the way. Cyril Moodley from Durban handled my claim. He didn't keep me wondering as his numerous phone calls kept me well informed as to what was going on. My GIT as well as my vehicle claim was sorted within two weeks. Thanks once again Cyril Moodley. Great service from you. </p>,2
Friendly and helpful Friendly and helpful,2
It is excellent It is excellent,2
SERVICE EXELLENCE  THANKS  TO ADT N DA SECURITY WAS ON 30/04/2016 2 2AM. MY MOM INLAW GOT SICK. PRESSED PANIC BUTTON FOR AMBULANCE SERVICE. WITHIN MINUTES THE ADT SECURITY WAS @ MY PREMISES N HE THE WENT N ESCORTED THE AMBULANCE. THE AMBULANCE SERVICE CONTRCTED WTO ADT N DA PARAMEDICS ON DUTY WAS A LIFE SAVER TO MY MOM. R.REDDY 90 AVALEN CRESCENT NORTHCROFT,2
Excellent experience Excellent experience,2
Good friendly servic... Good friendly service,2
Friendly staff Friendly staff,2
Bad Bad,2
Good services Good services,2
Rubyn Thank you for assisting,2
Fantastic Fantastic,2
EXCELLENT SERVICE EXCELLENT SERVICE,2
No complaints No complaints,2
Great customer service  Great customer service ,2
"Excellent service <p>I couldn't logon to e-filing so I called the call centre. They have a call-back option, which is fantastic, since you don't have to hang on unnecessarily. Within 5 minutes, my call was returned, by Jackie. She was so pleasant, competent and very helpful, even giving directions to the nearest SARS branch. I was thoroughly impressed. Thank you!</p>",2
Worse food ever <p>My friend and I ordered noodles by simply asia in waterfront earlier.  The worse food ever..  the veggies is literally still raw and sour.. the prawns still had the shells on. It wasn't even spicy like we asked for. It was plain. This food is not even worth for human consumption that's how disgusting it was. It went straight into the bin.</p>,2
"The Mattress Warehouse - horrible customer service. No Communication, No Delivery, No Honesty.

I'm not sure what's happening at the Midrand branch, but I would steer clear from ordering anything from Mattress Warehouse in the greater Gauteng area.

My Experience:
Ordered a mattress, the website looks legit, it proudly boasts fast delivery within major city areas, 5 days!, perfect.

A Week passes, no communications except an attempt to up sell a mattress protector. 
I request an ETA on delivery,,,, silence.
Two  days pass, I request another ETA,,,, silence.
Another day passes, I request cancellation of my order,,,, silence..
Another day passes, I phone, ooh terribly sorry, we don't have that, let me upgrade you... and deliver on the next day or the day after... YES, that will do, and at least I know that we have living breathing people at the company :).
15 minutes later, the phone rings, oh, we actually do have stock, you wont get the upgrade, but we will deliver by Friday.. I'm ok with this... it's December load shedding etc, let's be reasonable.
2 days pass, it's delivery day, I make provisions to be around to accept delivery, nothing happens.. I phone branch, oooooh it's not going to be delivered. 

Really... all you have to do is be honest, communicate and move mattress's ... why does it have to be a mission.

Anyway, I can go down the road, pay a little bit more and have a mattress delivered same day. 
Terrible service from the Mattress Warehouse.. what a shame.",2
"Highly recommended! Friendly, fast, efficient and reliable. Thank you guys.",2
"Excellent Service <p>Eunice Nhlapo stayed glued on my query on our Live Chat and even constantly calling me on my cell as the Pharmacist sent me on a number of trips to the SAPS, my doctors and himself!</p>
<p> </p>
<p>Eunice picked up the sensitivity of my matter trying to replace a lost medication only a day after being issued, thank you soooo much! She followed even after issue couldn't be resolved on the close if day, we picked up again on the following day going past the stumbling blocks my side and her side, she excellently represented me, well done!</p>",2
great service great service,2
